emp_length,annual_income,debt_to_income,annual_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_amount,term,interest_rate,installment,grade,default,is_joint_app,ever_delinquent,ever_90d_late,loan_income_ratio,installment_to_income,credit_utilization_rate,credit_age,homeownership_OWN,homeownership_RENT,verified_income_Source Verified,verified_income_Verified,loan_purpose_credit_card,loan_purpose_debt_consolidation,loan_purpose_home_improvement,loan_purpose_house,loan_purpose_major_purchase,loan_purpose_medical,loan_purpose_moving,loan_purpose_other,loan_purpose_small_business,loan_purpose_vacation,application_type_joint,verification_income_joint_Not Verified,verification_income_joint_Source Verified,verification_income_joint_Verified,initial_listing_status_whole,disbursement_method_DirectPay
10.0,85000.0,21.22,0.0,0.0,0,999.0,2005,3,19,7,66747,58091,0,0,74.0,0,0,2,3,0.0,7,0.0,0,4,11300,6,5,4,1,95.0,0,0,24000,60,19.42,628.14,4,1,0,0,1,0.2823529411764706,0.007389882352941177,0.8703162688959803,19,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.0,14400.0,3.83,0.0,0.0,0,999.0,2012,1,2,2,6300,2300,0,0,999.0,0,0,0,1,0.0,2,0.0,0,1,6300,2,2,1,0,100.0,0,0,5000,36,15.05,173.45,3,1,0,0,0,0.3472222222222222,0.012045138888888888,0.36507936507936506,12,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
10.0,130000.0,9.53,0.0,0.0,0,999.0,1972,0,32,10,333400,21579,0,0,999.0,0,0,1,1,999.0,10,0.0,0,1,46900,18,7,1,6,100.0,0,0,14000,36,6.08,426.42,1,0,0,0,0,0.1076923076923077,0.0032801538461538463,0.06472405518896221,52,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
5.0,70000.0,3.82,0.0,0.0,0,999.0,1996,3,7,5,43000,12090,0,0,999.0,0,0,0,3,0.0,5,0.0,0,2,43000,6,5,2,0,100.0,0,0,7500,36,17.09,267.74,4,1,0,0,0,0.10714285714285714,0.003824857142857143,0.2811627906976744,28,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.0,55000.0,23.88,99000.0,21.68,0,999.0,2007,0,22,10,50324,34535,0,0,999.0,0,0,0,2,999.0,10,0.0,0,4,33600,10,7,5,0,95.0,0,0,20000,36,14.08,684.33,3,0,1,0,0,0.36363636363636365,0.012442363636363637,0.6862530800413321,17,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False
10.0,60000.0,9.8,0.0,0.0,0,999.0,2007,3,31,12,401380,19836,0,0,999.0,0,0,0,6,4.0,12,0.0,0,7,34700,21,11,10,5,100.0,0,0,6000,36,6.72,184.5,1,1,0,0,0,0.1,0.003075,0.04941950271563107,17,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
9.0,22000.0,9.93,57000.0,9.58,0,999.0,1999,0,20,11,50500,5798,0,0,999.0,0,0,0,3,13.0,11,0.0,0,1,20900,20,11,3,0,100.0,0,0,5000,36,7.97,156.62,1,1,1,0,0,0.22727272727272727,0.007119090909090909,0.11481188118811882,25,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False
10.0,20000.0,34.72,0.0,0.0,0,72.0,2003,0,14,7,57045,29717,0,1,72.0,0,0,4,3,18.0,7,0.0,0,1,22800,4,3,1,0,76.9,0,1,5000,36,6.72,153.75,1,0,0,1,1,0.25,0.0076875,0.5209396090805505,21,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
10.0,68000.0,11.22,0.0,0.0,1,5.0,1997,5,34,10,324652,24577,0,0,999.0,0,822,2,7,7.0,10,0.0,0,3,20000,22,7,4,6,85.3,0,0,4000,36,9.93,128.94,2,0,0,1,0,0.058823529411764705,0.0018961764705882353,0.07570259847467442,27,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
1.0,36000.0,4.87,0.0,0.0,0,32.0,2008,7,5,2,6250,1566,0,0,999.0,0,0,1,2,1.0,2,0.0,0,0,0,3,1,1,0,75.0,0,0,7000,36,20.0,260.15,4,1,0,1,0,0.19444444444444445,0.007226388888888888,0.25056,16,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2.0,41000.0,41.51,121000.0,23.35,0,29.0,2001,3,31,10,110858,87186,0,0,999.0,0,0,3,4,9.0,10,0.0,0,2,6800,25,7,3,0,93.5,0,0,32000,60,21.45,873.83,4,1,1,1,0,0.7804878048780488,0.021312926829268292,0.7864655685651915,23,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False
10.0,60000.0,16.12,0.0,0.0,0,999.0,2001,1,16,7,195174,32843,0,0,999.0,0,0,2,5,3.0,7,0.0,0,2,25200,6,4,2,5,100.0,0,0,10000,36,7.35,310.38,1,1,0,0,0,0.16666666666666666,0.005173,0.16827548751370572,23,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
10.0,85000.0,26.03,0.0,0.0,0,999.0,2003,1,33,9,233448,68818,0,0,999.0,0,0,3,4,9.0,9,0.0,0,4,41100,11,5,5,1,100.0,0,0,30000,36,7.97,939.68,1,0,0,0,0,0.35294117647058826,0.011055058823529411,0.2947894177718378,21,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.0,45000.0,8.29,0.0,0.0,0,41.0,2007,2,12,8,16100,8668,0,0,999.0,0,1140,1,4,4.0,8,0.0,0,3,5800,9,7,4,0,83.3,0,0,11000,36,12.61,368.58,3,0,0,1,0,0.24444444444444444,0.008190666666666666,0.5383850931677019,17,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,24000.0,4.4,0.0,0.0,0,999.0,2010,2,8,2,16750,11564,0,0,999.0,0,0,1,5,5.0,2,0.0,0,0,3500,7,1,0,0,100.0,0,0,6025,36,10.9,196.97,2,1,0,0,0,0.25104166666666666,0.008207083333333334,0.6903880597014925,14,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
8.0,80000.0,10.72,0.0,0.0,0,33.0,1998,2,20,8,29127,16679,0,0,33.0,0,0,2,7,7.0,8,0.0,0,4,10800,14,5,5,0,75.0,0,0,13000,60,21.85,357.94,4,0,0,1,1,0.1625,0.00447425,0.5726302056511141,26,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.0,85000.0,13.0,0.0,0.0,0,999.0,2006,4,29,13,131847,69595,0,0,999.0,0,0,5,5,8.0,13,0.0,0,3,47800,15,7,3,2,100.0,0,0,24000,36,9.93,773.63,2,0,0,0,0,0.2823529411764706,0.009101529411764706,0.527846670762323,18,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
7.0,60000.0,16.34,0.0,0.0,0,75.0,1997,1,17,9,49180,30630,0,1,75.0,0,0,1,8,4.0,8,0.0,0,3,14600,12,8,6,1,82.4,0,1,13500,60,14.08,314.69,3,0,0,1,1,0.225,0.005244833333333333,0.6228141520943473,27,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.0,170000.0,12.47,0.0,0.0,0,999.0,1999,0,10,3,66000,50211,0,0,999.0,0,0,1,1,17.0,3,0.0,0,1,26000,3,2,1,0,100.0,0,0,2000,36,15.05,69.38,3,0,0,0,0,0.011764705882352941,0.0004081176470588235,0.7607727272727273,25,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
10.0,86000.0,14.26,0.0,0.0,1,13.0,1978,0,26,18,50849,33189,0,0,999.0,0,0,1,1,999.0,18,0.0,0,5,18900,21,15,12,1,96.2,0,0,21000,36,15.05,728.49,3,0,0,1,0,0.2441860465116279,0.008470813953488372,0.6526972015182206,46,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4.0,65000.0,21.62,0.0,0.0,0,42.0,1999,5,29,12,208260,59248,0,0,75.0,0,0,2,9,6.0,12,0.0,0,1,7400,16,9,6,2,89.7,0,0,9500,36,10.42,308.42,2,0,0,1,1,0.14615384615384616,0.004744923076923077,0.28449054067031593,25,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
9.0,169880.0,20.61,0.0,0.0,0,42.0,1998,3,35,15,767814,93966,0,1,69.0,0,5743,4,9,0.0,15,0.0,0,1,5200,16,8,5,7,74.3,1,0,16000,36,16.02,562.68,3,1,0,1,1,0.09418412997409936,0.003312220390864139,0.12238120169728606,26,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
10.0,200000.0,16.96,0.0,0.0,0,999.0,1996,1,22,11,319271,162435,0,0,999.0,0,0,4,5,8.0,11,0.0,0,6,69900,11,6,6,2,100.0,0,0,30000,36,19.03,1100.14,4,0,0,0,0,0.15,0.005500700000000001,0.508768413040959,28,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10.0,64000.0,31.58,0.0,0.0,0,999.0,2002,0,15,11,90115,66688,0,0,999.0,0,0,2,3,17.0,11,0.0,0,6,17000,10,8,7,0,100.0,0,0,14000,60,17.09,348.62,4,1,0,0,0,0.21875,0.0054471875,0.7400321811019254,22,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,71500.0,20.98,0.0,0.0,0,999.0,2005,3,23,6,114482,100931,0,1,999.0,0,0,2,4,5.0,6,0.0,0,2,17000,4,4,2,0,100.0,1,0,16175,36,30.75,693.32,6,1,0,0,0,0.22622377622377624,0.009696783216783217,0.8816320469593473,19,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
10.0,68000.0,18.23,0.0,0.0,0,999.0,2007,1,10,5,70571,47811,0,1,999.0,0,0,3,3,1.0,5,0.0,0,1,4000,3,2,2,0,100.0,0,1,10000,60,18.06,254.27,4,1,0,0,0,0.14705882352941177,0.003739264705882353,0.6774879199671253,17,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
10.0,72000.0,23.47,0.0,0.0,0,31.0,1993,1,34,15,355336,59056,0,0,999.0,0,0,3,5,9.0,15,0.0,0,2,5000,15,10,10,5,97.1,0,0,4000,36,15.05,138.76,3,0,0,1,0,0.05555555555555555,0.001927222222222222,0.16619762703469393,31,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
0.0,64000.0,1.03,0.0,0.0,0,47.0,1981,0,15,6,9000,914,0,0,47.0,0,0,0,1,999.0,6,0.0,0,1,3000,14,6,2,1,86.7,0,0,23000,36,6.72,707.24,1,0,0,1,1,0.359375,0.011050625,0.10155555555555555,43,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
4.0,130000.0,7.91,0.0,0.0,0,999.0,2006,1,35,19,380547,16799,0,1,999.0,0,0,1,7,5.0,19,0.0,0,6,65800,32,17,7,1,100.0,0,1,12000,60,9.92,254.5,2,0,0,0,0,0.09230769230769231,0.001957692307692308,0.04414435010655714,18,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
9.0,75000.0,20.7,0.0,0.0,0,999.0,2007,2,21,12,227878,68804,0,0,999.0,0,0,3,6,6.0,12,0.0,0,2,32000,9,8,3,4,100.0,0,0,10000,36,7.35,310.38,1,0,0,0,0,0.13333333333333333,0.0041383999999999995,0.30193349072749454,17,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.0,150000.0,9.16,0.0,0.0,1,9.0,1987,2,27,10,835975,96806,0,0,9.0,0,0,1,3,5.0,10,0.0,0,3,44000,18,8,6,5,96.2,0,0,18000,60,9.44,377.51,2,0,0,1,1,0.12,0.0025167333333333333,0.11580011363976195,37,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
10.0,90000.0,11.57,0.0,0.0,0,77.0,2010,0,13,8,38667,21543,0,1,999.0,0,0,4,6,999.0,8,0.0,0,2,7800,4,4,4,0,92.3,1,0,11000,60,16.02,267.62,3,0,0,1,0,0.12222222222222222,0.0029735555555555557,0.5571417487780278,14,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
10.0,70000.0,10.97,91600.0,8.87,0,999.0,2003,1,30,10,560929,34417,0,0,999.0,0,0,1,7,7.0,10,0.0,0,3,44800,14,8,3,8,100.0,0,0,15000,60,13.59,345.85,3,0,1,0,0,0.21428571428571427,0.004940714285714286,0.061357141456405355,21,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False
10.0,60000.0,33.53,0.0,0.0,0,999.0,2006,7,23,7,282033,106680,0,0,999.0,0,0,2,7,3.0,7,0.0,0,1,5600,6,4,4,3,100.0,0,0,7500,36,21.45,284.3,4,0,0,0,0,0.125,0.004738333333333333,0.37825360862026786,18,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.0,45000.0,13.71,0.0,0.0,0,999.0,2014,3,8,7,35854,10630,0,0,999.0,0,0,2,3,2.0,7,0.0,0,1,6100,3,3,2,1,100.0,0,0,28000,36,20.0,1040.59,4,1,0,0,0,0.6222222222222222,0.02312422222222222,0.29648016957661627,10,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
10.0,105000.0,17.3,0.0,0.0,1,14.0,2000,1,35,13,311303,66893,0,0,999.0,0,0,5,5,8.0,13,0.0,0,3,6800,17,7,5,3,100.0,0,0,10000,36,9.92,322.3,2,1,0,1,0,0.09523809523809523,0.0030695238095238097,0.21488067895266028,24,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
10.0,140000.0,10.47,0.0,0.0,1,6.0,2002,2,23,15,534435,26373,0,0,71.0,0,0,2,9,1.0,15,0.0,0,4,9750,12,9,7,5,87.0,0,0,21000,36,9.93,676.93,2,1,0,1,1,0.15,0.004835214285714286,0.049347441690757526,22,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1.0,320000.0,21.88,0.0,0.0,0,999.0,1995,5,29,17,373689,280414,0,0,999.0,0,0,9,10,0.0,17,0.0,0,6,43075,10,7,7,4,100.0,0,0,35000,60,26.3,1054.15,5,1,0,0,0,0.109375,0.0032942187500000003,0.7503940442453484,29,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4.0,71000.0,19.74,0.0,0.0,0,999.0,1992,1,22,15,343590,41527,0,0,999.0,0,0,2,4,6.0,15,0.0,0,2,32700,17,12,8,1,100.0,0,0,12000,36,5.32,361.38,1,0,0,0,0,0.16901408450704225,0.005089859154929577,0.12086207398352687,32,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.0,58000.0,25.32,121000.0,16.05,0,999.0,2013,3,11,10,61666,25974,0,0,999.0,0,115,4,4,1.0,10,0.0,0,4,19700,7,6,5,0,100.0,0,0,9600,36,15.05,333.03,3,1,1,0,0,0.16551724137931034,0.0057418965517241375,0.4212045535627412,11,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False
10.0,50000.0,29.67,0.0,0.0,0,999.0,1996,1,19,9,202502,37835,0,0,999.0,0,0,3,5,4.0,9,0.0,0,4,15600,11,5,5,2,100.0,0,0,6000,36,11.98,199.23,2,1,0,0,0,0.12,0.0039846,0.18683766086260875,28,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1.0,72100.0,30.78,0.0,0.0,1,23.0,2002,5,56,22,355726,129542,0,0,60.0,0,0,5,12,2.0,22,0.0,0,5,32600,28,16,9,2,94.4,0,0,12000,36,12.62,402.14,3,0,0,1,1,0.1664355062413315,0.00557753120665742,0.36416230469518673,22,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10.0,62000.0,14.52,0.0,0.0,1,4.0,1998,3,28,5,41896,20133,0,0,999.0,0,0,2,2,3.0,5,0.0,0,0,5400,19,3,0,3,96.4,0,0,17000,60,13.59,391.96,3,0,0,1,0,0.27419354838709675,0.0063219354838709675,0.480547068932595,26,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
10.0,65000.0,26.43,0.0,0.0,0,999.0,1985,0,22,17,64750,34139,0,0,999.0,0,0,1,3,20.0,17,0.0,0,8,32600,18,16,13,0,100.0,0,0,30000,36,21.85,1143.39,4,1,0,0,0,0.46153846153846156,0.017590615384615385,0.5272432432432432,39,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
6.0,32800.0,29.09,0.0,0.0,0,999.0,2002,1,23,12,61741,26355,0,1,999.0,0,0,3,4,7.0,12,0.0,0,1,7000,17,9,7,1,100.0,0,1,3800,36,7.35,117.95,1,0,0,0,0,0.11585365853658537,0.003596036585365854,0.4268638344050145,22,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.0,130000.0,0.09,0.0,0.0,0,999.0,2004,0,4,2,3100,10,0,0,999.0,0,0,0,1,999.0,2,0.0,0,1,3100,3,2,1,0,100.0,0,0,10000,36,7.35,310.38,1,0,0,0,0,0.07692307692307693,0.0023875384615384613,0.0032258064516129032,20,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
5.0,40000.0,2.97,0.0,0.0,0,999.0,1999,2,10,3,156490,3908,0,0,999.0,0,148,0,1,0.0,3,0.0,0,2,8500,5,2,2,3,100.0,0,0,6000,36,10.42,194.79,2,0,0,0,0,0.15,0.00486975,0.024972841715125565,25,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2.0,51000.0,22.66,0.0,0.0,0,999.0,2000,2,23,21,104401,109072,0,0,999.0,0,0,15,3,3.0,21,0.0,0,2,9600,6,6,4,0,100.0,0,0,20000,36,17.47,717.75,4,0,0,0,0,0.39215686274509803,0.014073529411764705,1.0447409507571765,24,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
6.0,70000.0,39.43,130000.0,23.47,0,999.0,1987,1,21,18,405432,107379,0,0,999.0,0,0,1,3,12.0,18,0.0,0,14,55400,17,16,14,1,100.0,0,0,16000,60,17.09,398.42,4,0,1,0,0,0.22857142857142856,0.005691714285714286,0.26485082578582847,37,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False
1.0,122000.0,24.59,0.0,0.0,0,24.0,2005,5,30,15,540105,143742,0,0,24.0,0,51,4,5,11.0,15,0.0,0,7,86000,12,10,7,1,96.7,0,0,28000,60,15.04,666.71,3,0,0,1,1,0.22950819672131148,0.005464836065573771,0.26613714000055544,19,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
10.0,63000.0,17.54,0.0,0.0,0,999.0,2004,2,12,6,43416,23143,0,1,81.0,0,0,1,1,6.0,6,0.0,0,3,15500,7,5,4,3,83.0,0,1,21500,60,11.99,478.15,2,1,0,0,1,0.3412698412698413,0.0075896825396825395,0.533052330937903,20,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.0,40000.0,26.19,0.0,0.0,0,29.0,1998,1,30,22,93437,81995,0,0,48.0,0,390,14,6,7.0,22,0.0,0,3,11100,13,8,5,0,90.0,0,0,3000,36,11.98,99.62,2,0,0,1,1,0.075,0.0024905,0.8775431574215782,26,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
10.0,104000.0,13.39,0.0,0.0,0,999.0,2004,1,14,8,362735,51772,0,0,999.0,0,0,2,5,10.0,8,0.0,0,2,10500,7,5,5,1,100.0,0,0,35000,60,19.03,908.5,4,0,0,0,0,0.33653846153846156,0.008735576923076922,0.14272678401587935,20,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
10.0,209000.0,19.76,0.0,0.0,0,52.0,1999,2,39,18,803161,137382,0,0,999.0,0,0,4,7,8.0,18,0.0,0,6,45200,19,12,10,6,94.9,0,0,24000,60,11.99,533.75,2,0,0,1,0,0.11483253588516747,0.0025538277511961724,0.17105163223811914,25,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.0,200000.0,8.41,0.0,0.0,1,10.0,1995,2,22,11,55577,41806,0,0,999.0,0,0,2,4,8.0,11,0.0,0,5,21700,10,9,8,2,95.2,0,0,17000,36,23.88,665.89,5,0,0,1,0,0.085,0.00332945,0.75221764398942,29,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7.0,103000.0,6.58,0.0,0.0,0,71.0,1987,3,37,8,124900,27381,0,0,999.0,0,0,0,5,3.0,8,0.0,0,3,64700,26,8,5,0,97.2,0,0,30000,36,7.35,931.13,1,0,0,1,0,0.2912621359223301,0.009040097087378641,0.21922337870296238,37,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
